isinCd,ytm,coupon_rate,after_tax_yield_approx,calculation_status
KR6003342F25,3.293,4.532,2.595072,CALCULATED
KR6003342G24,4.365,3.907,3.763322,CALCULATED
KR6003343F24,4.368,4.656,3.6509760000000004,CALCULATED
KR6003343G72,4.824,5.153,4.030438,CALCULATED
KR6003412B99,6.247,2.962,5.790852,CALCULATED
KR6003492E24,4.069,4.499,3.376154,CALCULATED
KR6003492E65,3.946,3.989,3.331694,CALCULATED
KR6003492EA8,4.868,4.135,4.231210000000001,CALCULATED
KR6003492G63,4.644,4.71,3.91866,CALCULATED
KR6003493E23,4.636,4.794,3.897724,CALCULATED
KR6003493F97,4.551,3.73,3.9765800000000002,CALCULATED
KR6003691D32,5.472,5.5,4.625,CALCULATED
KR60040529A4,2.916,1.882,2.626172,CALCULATED
KR6005283F96,3.737,2.59,3.33814,CALCULATED
KR6005831G68,5.302,5.3,4.485799999999999,CALCULATED
KR6006221E25,5.683,5.65,4.8129,CALCULATED
KR6008272F69,4.016,2.802,3.584492,CALCULATED
KR6009201F22,5.7,4.395,5.02317,CALCULATED
KR6011331FB3,20.37,3.0,,OUTLIER_YTM
KR6011791G23,4.268,4.223,3.6176579999999996,CALCULATED
KR6023532E16,4.335,4.267,3.677882,CALCULATED
KR6023764E98,5.37,4.969,4.604774,CALCULATED
KR6023764F22,7.329,4.244,6.675424,CALCULATED
KR6023765F39,3.621,4.214,2.972044,CALCULATED
KR6023766F46,4.514,4.044,3.8912240000000002,CALCULATED
KR602376AG79,5.244,5.243,4.436578,CALCULATED
KR6023785F19,4.04,3.157,3.5538220000000003,CALCULATED
KR6025102E37,5.739,4.747,5.007962,CALCULATED
KR6025901F39,7.499,5.1,6.7136,CALCULATED
KR6025901G61,8.304,6.5,7.303000000000001,CALCULATED
KR6029272D91,3.917,5.079,3.1348339999999997,CALCULATED
KR6029692E50,4.442,5.025,3.6681500000000002,CALCULATED
KR6029693BB5,5.198,2.696,4.782816,CALCULATED
KR602969DE48,4.65,5.189,3.8508940000000003,CALCULATED
KR60302039A7,4.195,1.622,3.945212,CALCULATED
KR6030625E76,6.662,5.68,5.78728,CALCULATED
KR6030627E58,6.939,5.99,6.01654,CALCULATED
KR6031012F33,4.938,3.553,4.390838,CALCULATED
KR6034021E94,3.498,4.1,2.8666,CALCULATED
KR6034022E93,4.296,4.571,3.5920660000000004,CALCULATED
KR6034222B94,3.455,2.792,3.025032,CALCULATED
KR6034612G48,4.666,4.388,3.9902480000000002,CALCULATED
KR6034831E86,3.715,6.365,2.73479,CALCULATED
KR6034832E28,5.103,7.402,3.9630919999999996,CALCULATED
KR6035651G21,6.782,6.7,5.7501999999999995,CALCULATED
KR6035651G47,6.978,6.306,6.006876,CALCULATED
KR6035652F88,6.548,6.8,5.5008,CALCULATED
KR6039331F97,51.048,7.6,,OUTLIER_YTM
KR6039331G13,26.756,7.8,,OUTLIER_YTM
KR6039331G47,21.174,8.5,,OUTLIER_YTM
KR6042662EB7,4.407,4.689,3.684894,CALCULATED
KR6042662F25,4.756,4.571,4.052066,CALCULATED
KR6042662F74,4.127,4.02,3.50792,CALCULATED
KR6042662G24,4.826,4.187,4.181202,CALCULATED
KR6046291F90,3.927,3.723,3.3536580000000002,CALCULATED
KR6046291FC6,4.737,4.088,4.107448,CALCULATED
KR6046292FC4,3.998,4.088,3.3684480000000003,CALCULATED
KR6046293F23,6.245,4.759,5.512114,CALCULATED
KR6046294EA7,4.791,5.656,3.9199760000000006,CALCULATED
KR6046297F11,4.53,4.81,3.7892600000000005,CALCULATED
KR6046297F29,4.478,4.731,3.7494259999999997,CALCULATED
KR6046297FA7,4.65,3.795,4.06557,CALCULATED
KR6046297FB5,5.494,3.986,4.8801559999999995,CALCULATED
KR6048711EA8,6.094,5.5,5.247,CALCULATED
KR6048712EA6,6.527,5.8,5.6338,CALCULATED
KR6051913B27,3.774,1.758,3.5032680000000003,CALCULATED
KR6055551C16,3.944,3.9,3.3434,CALCULATED
KR6055551D72,5.297,5.4,4.4654,CALCULATED
KR6060005C67,4.919,4.89,4.16594,CALCULATED
KR6064981B19,4.002,1.9,3.7093999999999996,CALCULATED
KR606590A792,3.708,3.0,3.2460000000000004,CALCULATED
KR6066574924,4.431,2.954,3.976084,CALCULATED
KR6066971F95,4.477,1.0,4.323,CALCULATED
KR6067171G17,6.673,4.0,6.057,CALCULATED
KR6068172BB2,3.624,2.761,3.1988060000000003,CALCULATED
KR6073981D59,5.761,5.8,4.8678,CALCULATED
KR6073981EB3,4.8,4.6,4.0916,CALCULATED
KR6079161C75,0.0,0.5,-0.077,CALCULATED
KR6079161F72,5.649,5.45,4.8097,CALCULATED
KR6079162F71,5.825,5.6,4.9626,CALCULATED
KR6082481C98,6.474,6.7,5.4422,CALCULATED
KR6082481D30,6.365,6.6,5.3486,CALCULATED
KR6082481E96,5.857,5.9,4.9484,CALCULATED
KR6082481EC1,5.727,5.4,4.8954,CALCULATED
KR6086521F23,2.89,4.9,2.1354,CALCULATED
KR6086791C60,4.561,4.55,3.8603,CALCULATED
KR6086791D85,5.239,5.25,4.4305,CALCULATED
KR6086891DC9,0.0,3.0,-0.46199999999999997,CALCULATED
KR6086951C66,6.752,6.2,5.7972,CALCULATED
KR6086951D40,8.677,7.3,7.5527999999999995,CALCULATED
KR6086951D65,8.658,7.28,7.536879999999999,CALCULATED
KR6086951E31,8.871,6.9,7.808400000000001,CALCULATED
KR6086951E56,8.686,7.0,7.608,CALCULATED
KR6087801E80,6.027,5.82,5.13072,CALCULATED
KR6088351C68,5.368,5.3,4.5518,CALCULATED
KR6088351D83,5.725,6.0,4.801,CALCULATED
KR6088351E74,5.008,4.8,4.2688,CALCULATED
KR6095081C37,4.875,4.8,4.1358,CALCULATED
KR6095081C94,6.033,6.2,5.078200000000001,CALCULATED
KR6095081F26,5.602,4.8,4.8628,CALCULATED
KR6095231FC2,3.911,4.088,3.281448,CALCULATED
KR6095232FB2,4.941,3.928,4.336088,CALCULATED
KR6095234F22,4.384,4.589,3.6772940000000003,CALCULATED
KR6095234F30,4.775,4.527,4.077842,CALCULATED
KR6095235F96,5.586,4.029,4.965534,CALCULATED
KR6095237F94,4.548,4.233,3.896118,CALCULATED
KR60959219A1,4.093,2.791,3.663186,CALCULATED
KR6103161EB6,6.548,6.2,5.5932,CALCULATED
KR6105561C25,4.024,4.0,3.408,CALCULATED
KR6105561C58,4.708,4.68,3.98728,CALCULATED
KR6105561D24,5.083,5.03,4.3083800000000005,CALCULATED
KR6105562B58,3.9,3.6,3.3456,CALCULATED
KR6105563B24,3.557,3.28,3.0518799999999997,CALCULATED
KR6108261B80,3.672,3.61,3.11606,CALCULATED
KR6108672B91,4.648,2.678,4.235588,CALCULATED
