date,base_rate,cpi_yoy,yield_spread_10y_3y,credit_spread,policy_spread,short_rate_change,long_rate_change
2021-05-25,0.5,2.62469831053902,0.987,0.748,0.6419999999999999,0.021999999999999797,0.08599999999999985
2021-05-26,0.5,2.62469831053902,0.967,0.7409999999999999,0.661,0.04200000000000004,0.039000000000000146
2021-05-27,0.5,2.62469831053902,0.987,0.7429999999999999,0.6240000000000001,0.027000000000000135,0.040000000000000036
2021-05-28,0.5,2.62469831053902,0.9700000000000002,0.7370000000000001,0.6619999999999999,0.05699999999999994,0.050000000000000266
2021-05-31,0.5,2.62469831053902,0.9519999999999996,0.718,0.7270000000000001,0.1060000000000001,0.08099999999999996
2021-06-01,0.5,2.3468057366362594,0.973,0.716,0.7130000000000001,0.07200000000000006,0.05799999999999983
2021-06-02,0.5,2.3468057366362594,0.996,0.718,0.706,0.05699999999999994,0.07799999999999985
2021-06-03,0.5,2.3468057366362594,1.0039999999999998,0.72,0.6910000000000001,0.03300000000000014,0.06499999999999995
2021-06-04,0.5,2.3468057366362594,0.953,0.7110000000000001,0.72,0.08000000000000007,0.07100000000000017
2021-06-07,0.5,2.3468057366362594,0.955,0.71,0.7010000000000001,0.06400000000000006,0.03299999999999992
2021-06-08,0.5,2.3468057366362594,0.9420000000000002,0.7170000000000001,0.6739999999999999,0.038000000000000034,-0.017999999999999794
2021-06-09,0.5,2.3468057366362594,0.9660000000000002,0.7290000000000001,0.637,0.009000000000000119,-0.03599999999999959
2021-06-10,0.5,2.3468057366362594,0.8029999999999999,0.5979999999999999,0.782,0.16100000000000003,-0.040000000000000036
2021-06-11,0.5,2.3468057366362594,0.825,0.5960000000000001,0.776,0.15300000000000002,-0.05500000000000016
2021-06-14,0.5,2.3468057366362594,0.8090000000000002,0.5940000000000001,0.7869999999999999,0.17099999999999982,-0.06199999999999983
2021-06-15,0.5,2.3468057366362594,0.7640000000000002,0.589,0.8069999999999999,0.19999999999999996,-0.04599999999999982
2021-06-16,0.5,2.3468057366362594,0.7839999999999998,0.593,0.786,0.18700000000000006,-0.04800000000000004
2021-06-17,0.5,2.3468057366362594,0.7520000000000002,0.573,0.827,0.22399999999999998,-0.055999999999999606
2021-06-18,0.5,2.3468057366362594,0.728,0.575,0.813,0.21799999999999997,-0.0820000000000003
2021-06-21,0.5,2.3468057366362594,0.6549999999999998,0.5549999999999999,0.851,0.23499999999999988,-0.11400000000000032
2021-06-22,0.5,2.3468057366362594,0.7189999999999999,0.558,0.831,0.18900000000000006,-0.07900000000000018
2021-06-23,0.5,2.3468057366362594,0.7029999999999998,0.5549999999999999,0.8380000000000001,0.17700000000000005,-0.08700000000000019
2021-06-24,0.5,2.3468057366362594,0.6760000000000002,0.5450000000000002,0.8839999999999999,0.2599999999999998,-0.051000000000000156
2021-06-25,0.5,2.3468057366362594,0.659,0.528,0.941,0.27900000000000014,-0.03200000000000003
2021-06-28,0.5,2.3468057366362594,0.667,0.5230000000000001,0.97,0.24299999999999988,-0.041999999999999815
2021-06-29,0.5,2.3468057366362594,0.6499999999999999,0.518,0.959,0.246,-0.07699999999999996
2021-06-30,0.5,2.3468057366362594,0.6440000000000001,0.518,0.948,0.242,-0.10999999999999988
2021-07-01,0.5,2.6397671384121413,0.6209999999999998,0.506,0.969,0.278,-0.10499999999999998
2021-07-02,0.5,2.6397671384121413,0.617,0.5,0.984,0.264,-0.07200000000000006
2021-07-05,0.5,2.6397671384121413,0.627,0.5,0.962,0.2609999999999999,-0.06700000000000017
2021-07-06,0.5,2.6397671384121413,0.6540000000000001,0.4989999999999999,0.965,0.29100000000000015,0.0030000000000001137
2021-07-07,0.5,2.6397671384121413,0.6290000000000002,0.5050000000000001,0.91,0.2729999999999999,-0.06400000000000006
2021-07-08,0.5,2.6397671384121413,0.6439999999999997,0.5069999999999999,0.8580000000000001,0.07600000000000007,-0.08300000000000018
2021-07-09,0.5,2.6397671384121413,0.6579999999999999,0.4990000000000001,0.875,0.09899999999999998,-0.06800000000000006
2021-07-12,0.5,2.6397671384121413,0.6379999999999999,0.4930000000000001,0.8839999999999999,0.09699999999999998,-0.07400000000000029
2021-07-13,0.5,2.6397671384121413,0.6110000000000002,0.472,0.924,0.11699999999999999,-0.03600000000000003
2021-07-14,0.5,2.6397671384121413,0.6180000000000001,0.4790000000000001,0.8899999999999999,0.10399999999999987,-0.06199999999999983
2021-07-15,0.5,2.6397671384121413,0.5269999999999999,0.4409999999999998,0.997,0.17000000000000015,-0.05500000000000016
2021-07-16,0.5,2.6397671384121413,0.5569999999999999,0.4569999999999998,0.951,0.13800000000000012,-0.03299999999999992
2021-07-19,0.5,2.6397671384121413,0.5129999999999999,0.4489999999999998,0.959,0.1080000000000001,-0.03399999999999981
2021-07-20,0.5,2.6397671384121413,0.4830000000000001,0.4540000000000002,0.91,0.07899999999999996,-0.1569999999999998
2021-07-21,0.5,2.6397671384121413,0.4949999999999999,0.4519999999999999,0.883,0.04499999999999993,-0.16300000000000003
2021-07-22,0.5,2.6397671384121413,0.524,0.4459999999999999,0.897,0.013000000000000123,-0.139
2021-07-23,0.5,2.6397671384121413,0.4949999999999999,0.4479999999999999,0.893,-0.04800000000000004,-0.2120000000000002
2021-07-26,0.5,2.6397671384121413,0.494,0.4519999999999999,0.869,-0.10099999999999998,-0.274
2021-07-27,0.5,2.6397671384121413,0.4880000000000002,0.4500000000000002,0.8799999999999999,-0.07900000000000018,-0.24099999999999988
2021-07-28,0.5,2.6397671384121413,0.443,0.4339999999999999,0.919,-0.028999999999999915,-0.22999999999999998
2021-07-29,0.5,2.6397671384121413,0.4579999999999999,0.431,0.931,-0.038000000000000034,-0.20099999999999985
2021-07-30,0.5,2.6397671384121413,0.4570000000000001,0.4299999999999999,0.917,-0.06699999999999995,-0.22699999999999987
2021-08-02,0.5,2.555145224074251,0.472,0.423,0.935,-0.026999999999999913,-0.18199999999999994
2021-08-03,0.5,2.555145224074251,0.4479999999999999,0.421,0.942,-0.02300000000000013,-0.22900000000000031
2021-08-04,0.5,2.555145224074251,0.4480000000000002,0.423,0.918,0.008000000000000007,-0.17300000000000004
2021-08-05,0.5,2.555145224074251,0.4639999999999999,0.4220000000000001,0.914,0.05599999999999983,-0.12399999999999989
2021-08-06,0.5,2.555145224074251,0.4669999999999998,0.4219999999999999,0.933,0.05800000000000005,-0.133
2021-08-09,0.5,2.555145224074251,0.478,0.423,0.936,0.052000000000000046,-0.10799999999999987
2021-08-10,0.5,2.555145224074251,0.484,0.423,0.932,0.008000000000000007,-0.11900000000000022
2021-08-11,0.5,2.555145224074251,0.5149999999999999,0.4259999999999999,0.919,0.029000000000000137,-0.07400000000000007
2021-08-12,0.5,2.555145224074251,0.5089999999999999,0.427,0.913,-0.08400000000000007,-0.10200000000000009
2021-08-13,0.5,2.555145224074251,0.5169999999999999,0.427,0.907,-0.04400000000000004,-0.08400000000000007
2021-08-17,0.5,2.555145224074251,0.484,0.4280000000000001,0.902,-0.05700000000000016,-0.08600000000000008
2021-08-18,0.5,2.555145224074251,0.492,0.4279999999999999,0.889,-0.020999999999999908,-0.01200000000000001
2021-08-19,0.5,2.555145224074251,0.508,0.4299999999999999,0.8600000000000001,-0.02299999999999991,-0.009999999999999787
2021-08-20,0.5,2.555145224074251,0.4889999999999999,0.4299999999999999,0.8640000000000001,-0.03299999999999992,-0.06800000000000006
2021-08-23,0.5,2.555145224074251,0.5,0.431,0.889,-0.0040000000000000036,0.001000000000000112
2021-08-24,0.5,2.555145224074251,0.5010000000000001,0.4240000000000001,0.938,0.06899999999999995,0.07600000000000007
2021-08-25,0.5,2.555145224074251,0.5009999999999999,0.4279999999999999,0.935,0.05500000000000016,0.06799999999999984
2021-08-26,0.75,2.555145224074251,0.53,0.4380000000000001,0.6479999999999999,-0.02100000000000013,0.06599999999999984
2021-08-27,0.75,2.555145224074251,0.5310000000000001,0.4340000000000001,0.6579999999999999,-0.02300000000000013,0.050000000000000044
2021-08-30,0.75,2.555145224074251,0.5150000000000001,0.4340000000000001,0.6479999999999999,-0.019000000000000128,0.038999999999999924
2021-08-31,0.75,2.555145224074251,0.5169999999999999,0.4339999999999999,0.645,-0.040000000000000036,0.004999999999999893
2021-09-01,0.75,2.4121500893389047,0.5249999999999999,0.431,0.667,-0.02499999999999991,0.052000000000000046
2021-09-02,0.75,2.4121500893389047,0.5190000000000001,0.433,0.6719999999999999,0.0040000000000000036,0.07499999999999996
2021-09-03,0.75,2.4121500893389047,0.506,0.4279999999999999,0.687,0.02300000000000013,0.06500000000000017
2021-09-06,0.75,2.4121500893389047,0.5109999999999999,0.4219999999999999,0.7090000000000001,0.026000000000000023,0.07000000000000006
2021-09-07,0.75,2.4121500893389047,0.5110000000000001,0.4239999999999999,0.714,0.028000000000000025,0.061000000000000165
2021-09-08,0.75,2.4121500893389047,0.5269999999999999,0.4189999999999998,0.7390000000000001,0.05700000000000016,0.10000000000000009
2021-09-09,0.75,2.4121500893389047,0.5009999999999999,0.4219999999999999,0.7490000000000001,0.08000000000000007,0.06600000000000006
2021-09-10,0.75,2.4121500893389047,0.5049999999999999,0.435,0.7509999999999999,0.08799999999999986,0.08399999999999985
2021-09-13,0.75,2.4121500893389047,0.512,0.437,0.7749999999999999,0.11799999999999988,0.11299999999999999
2021-09-14,0.75,2.4121500893389047,0.5250000000000001,0.4400000000000001,0.7849999999999999,0.133,0.17400000000000015
2021-09-15,0.75,2.4121500893389047,0.5329999999999999,0.4499999999999999,0.742,0.10299999999999998,0.1439999999999999
2021-09-16,0.75,2.4121500893389047,0.5330000000000001,0.4479999999999999,0.76,0.1499999999999999,0.17500000000000004
2021-09-17,0.75,2.4121500893389047,0.5330000000000001,0.443,0.7849999999999999,0.17099999999999982,0.21500000000000008
2021-09-23,0.75,2.4121500893389047,0.5410000000000001,0.4379999999999999,0.808,0.16900000000000004,0.2100000000000002
2021-09-24,0.75,2.4121500893389047,0.5770000000000002,0.4419999999999999,0.825,0.137,0.21300000000000008
2021-09-27,0.75,2.4121500893389047,0.6020000000000001,0.449,0.8160000000000001,0.131,0.2320000000000002
2021-09-28,0.75,2.4121500893389047,0.6469999999999998,0.4519999999999999,0.859,0.21100000000000008,0.32799999999999985
2021-09-29,0.75,2.4121500893389047,0.6199999999999999,0.4539999999999999,0.853,0.19500000000000006,0.2839999999999998
2021-09-30,0.75,2.4121500893389047,0.6440000000000001,0.4559999999999999,0.843,0.19500000000000006,0.32400000000000007
2021-10-01,0.75,3.164304252345773,0.625,0.4540000000000002,0.883,0.238,0.3460000000000001
2021-10-05,0.75,3.164304252345773,0.641,0.451,0.8999999999999999,0.23299999999999987,0.349
2021-10-06,0.75,3.164304252345773,0.6799999999999999,0.4519999999999997,0.969,0.29700000000000015,0.45799999999999996
2021-10-07,0.75,3.164304252345773,0.683,0.4539999999999999,0.954,0.2669999999999999,0.44399999999999995
2021-10-08,0.75,3.164304252345773,0.673,0.455,0.951,0.242,0.40400000000000014
2021-10-12,0.75,3.164304252345773,0.6320000000000001,0.447,1.065,0.351,0.472
2021-10-13,0.75,3.164304252345773,0.5769999999999997,0.4459999999999999,1.074,0.33499999999999996,0.3849999999999998
2021-10-14,0.75,3.164304252345773,0.538,0.4480000000000002,1.063,0.31399999999999983,0.351
2021-10-15,0.75,3.164304252345773,0.5609999999999999,0.4540000000000002,1.045,0.29400000000000004,0.3500000000000001
2021-10-18,0.75,3.164304252345773,0.5249999999999999,0.4580000000000002,1.125,0.3500000000000001,0.363
2021-10-19,0.75,3.164304252345773,0.5129999999999999,0.4590000000000001,1.116,0.3310000000000002,0.31899999999999995
2021-10-20,0.75,3.164304252345773,0.5449999999999999,0.4710000000000001,1.097,0.355,0.367
2021-10-21,0.75,3.164304252345773,0.5519999999999998,0.474,1.086,0.32600000000000007,0.34499999999999975
2021-10-22,0.75,3.164304252345773,0.522,0.4730000000000001,1.139,0.3540000000000001,0.34299999999999997
2021-10-25,0.75,3.164304252345773,0.5070000000000001,0.4679999999999999,1.169,0.361,0.32699999999999996
2021-10-26,0.75,3.164304252345773,0.5099999999999998,0.476,1.197,0.3720000000000001,0.3049999999999997
2021-10-27,0.75,3.164304252345773,0.443,0.4619999999999997,1.294,0.478,0.31899999999999995
2021-10-28,0.75,3.164304252345773,0.3799999999999999,0.4700000000000002,1.267,0.4079999999999999,0.14100000000000001
2021-10-29,0.75,3.164304252345773,0.472,0.4699999999999997,1.3530000000000002,0.5000000000000002,0.3520000000000003
2021-11-01,0.75,3.776601059046869,0.3979999999999997,0.472,1.358,0.5150000000000001,0.2689999999999997
2021-11-02,0.75,3.776601059046869,0.4420000000000001,0.504,1.2879999999999998,0.4049999999999998,0.22199999999999998
