STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01312,마른오징어,A013,어류 및 수산,M,197501,202607,619,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01312,마른오징어,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01313,낙지,A013,어류 및 수산,A,2015,2025,11,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01313,낙지,A013,어류 및 수산,M,201501,202607,139,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01313,낙지,A013,어류 및 수산,Q,2015Q1,2026Q2,46,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01314,오징어채,A013,어류 및 수산,A,1990,2025,36,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01314,오징어채,A013,어류 및 수산,M,199001,202607,439,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01314,오징어채,A013,어류 및 수산,Q,1990Q1,2026Q2,146,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01315,북어채,A013,어류 및 수산,A,1990,2025,36,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01315,북어채,A013,어류 및 수산,M,199001,202607,439,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01315,북어채,A013,어류 및 수산,Q,1990Q1,2026Q2,146,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01316,어묵,A013,어류 및 수산,A,1985,2025,41,2020=100,0.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01316,어묵,A013,어류 및 수산,M,198501,202607,499,2020=100,0.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01316,어묵,A013,어류 및 수산,Q,1985Q1,2026Q2,166,2020=100,0.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01317,맛살,A013,어류 및 수산,A,1990,2025,36,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01317,맛살,A013,어류 및 수산,M,199001,202607,439,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01317,맛살,A013,어류 및 수산,Q,1990Q1,2026Q2,146,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01318,수산물통조림,A013,어류 및 수산,A,1975,2025,51,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01318,수산물통조림,A013,어류 및 수산,M,197501,202607,619,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01318,수산물통조림,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01319,젓갈,A013,어류 및 수산,A,1975,2025,51,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01319,젓갈,A013,어류 및 수산,M,197501,202607,619,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01319,젓갈,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A014,"우유, 치즈 및 계란",A01,식료품,A,1985,2025,41,2020=100,9.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A014,"우유, 치즈 및 계란",A01,식료품,M,198501,202607,499,2020=100,9.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A014,"우유, 치즈 및 계란",A01,식료품,Q,1985Q1,2026Q2,166,2020=100,9.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01401,우유,A014,"우유, 치즈 및 계란",A,1985,2025,41,2020=100,3.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01401,우유,A014,"우유, 치즈 및 계란",M,198501,202607,499,2020=100,3.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01401,우유,A014,"우유, 치즈 및 계란",Q,1985Q1,2026Q2,166,2020=100,3.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01402,분유,A014,"우유, 치즈 및 계란",A,1975,2025,51,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01402,분유,A014,"우유, 치즈 및 계란",M,197501,202607,619,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01402,분유,A014,"우유, 치즈 및 계란",Q,1975Q1,2026Q2,206,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01403,치즈,A014,"우유, 치즈 및 계란",A,1990,2025,36,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01403,치즈,A014,"우유, 치즈 및 계란",M,199001,202607,439,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01403,치즈,A014,"우유, 치즈 및 계란",Q,1990Q1,2026Q2,146,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01404,발효유,A014,"우유, 치즈 및 계란",A,1975,2025,51,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01404,발효유,A014,"우유, 치즈 및 계란",M,197501,202607,619,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01404,발효유,A014,"우유, 치즈 및 계란",Q,1975Q1,2026Q2,206,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01405,달걀,A014,"우유, 치즈 및 계란",A,1975,2025,51,2020=100,3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01405,달걀,A014,"우유, 치즈 및 계란",M,197501,202607,619,2020=100,3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01405,달걀,A014,"우유, 치즈 및 계란",Q,1975Q1,2026Q2,206,2020=100,3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A015,식용유지,A01,식료품,A,1985,2025,41,2020=100,1.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A015,식용유지,A01,식료품,M,198501,202607,499,2020=100,1.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A015,식용유지,A01,식료품,Q,1985Q1,2026Q2,166,2020=100,1.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01501,참기름,A015,식용유지,A,1975,2025,51,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01501,참기름,A015,식용유지,M,197501,202607,619,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01501,참기름,A015,식용유지,Q,1975Q1,2026Q2,206,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01502,식용유,A015,식용유지,A,1975,2025,51,2020=100,0.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01502,식용유,A015,식용유지,M,197501,202607,619,2020=100,0.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01502,식용유,A015,식용유지,Q,1975Q1,2026Q2,206,2020=100,0.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A016,과일,A01,식료품,A,1985,2025,41,2020=100,15.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A016,과일,A01,식료품,M,198501,202607,499,2020=100,15.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A016,과일,A01,식료품,Q,1985Q1,2026Q2,166,2020=100,15.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01601,사과,A016,과일,A,1980,2025,46,2020=100,2.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01601,사과,A016,과일,M,198001,202607,559,2020=100,2.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01601,사과,A016,과일,Q,1980Q1,2026Q2,186,2020=100,2.3
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01602,배,A016,과일,A,1975,2025,51,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01602,배,A016,과일,M,197501,202607,619,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01602,배,A016,과일,Q,1975Q1,2026Q2,206,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01603,복숭아,A016,과일,A,1975,2025,51,2020=100,1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01603,복숭아,A016,과일,M,197501,202607,619,2020=100,1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01603,복숭아,A016,과일,Q,1975Q1,2026Q2,206,2020=100,1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01604,포도,A016,과일,A,1975,2025,51,2020=100,1.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01604,포도,A016,과일,M,197501,202607,619,2020=100,1.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01604,포도,A016,과일,Q,1975Q1,2026Q2,206,2020=100,1.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01605,밤,A016,과일,A,1975,2025,51,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01605,밤,A016,과일,M,197501,202607,619,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01605,밤,A016,과일,Q,1975Q1,2026Q2,206,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01606,감,A016,과일,A,1975,2025,51,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01606,감,A016,과일,M,197501,202607,619,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01606,감,A016,과일,Q,1975Q1,2026Q2,206,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01607,귤,A016,과일,A,1975,2025,51,2020=100,1.8
