basDt,srtnCd,isinCd,itmsNm,mrktCtg,xpYrCnt,itmsCtg,clprPrc,clprVs,clprBnfRt,mkpPrc,mkpBnfRt,hiprPrc,hiprBnfRt,loprPrc,loprBnfRt,trqu,trPrc
20260807,B00001AFA,KR600001AFA9,신한은행29-10-할-12M-D,일반채권, , ,9920.1,-2.9,3.499,9922,3.415,9922,3.415,9920.1,3.499,524870000,520686239
20260807,B000153E3,KR6000153E38,두산310-2,일반채권, , ,10125,0,3.913,10125,3.913,10125,3.913,10125,3.913,650000,658125
20260807,B000153F1,KR6000153F11,두산312-2,일반채권, , ,10055,0,3.915,10055,3.915,10055,3.915,10055,3.915,150000,150825
20260807,B000371C3,KR6000371C36,한화손해보험12(후),일반채권, , ,10050,0,4.963,10050,4.963,10051,4.961,10050,4.963,40000000,40200500
20260807,B000371C9,KR6000371C93,한화손해보험신종자본증권 14,일반채권, , ,10120,-11,6.458,10101,6.473,10235,6.368,10100,6.474,110180000,111369159
20260807,B000371E8,KR6000371E83,한화손해보험15(후),일반채권, , ,9891,0,5.083,9891,5.083,9891,5.083,9891,5.083,100000,98910
20260807,B000401A5,KR6000401A57,롯데손해보험8(후),일반채권, , ,8945,-124,9.454,8901.5,9.603,8945,9.454,8900,9.608,12750000,11363850
20260807,B000401BC,KR6000401BC4,롯데손해보험신종자본증권 3,일반채권, , ,7950,-50,8.944,8249,8.592,8249,8.592,7950,8.944,59870000,47625892
20260807,B000401C9,KR6000401C97,롯데손해보험9(후),일반채권, , ,9170,-128.5,8.683,9160,8.706,9170,8.683,9160,8.706,2660000,2436700
20260807,B000401D7,KR6000401D70,롯데손해보험11(후),일반채권, , ,9387,-6,8.701,9350,8.775,9387,8.701,9350,8.775,950000,890655
20260807,B000401DC,KR6000401DC0,롯데손해보험13(후),일반채권, , ,9200,-90,8.785,9118.5,8.945,9200,8.785,9118.5,8.945,1210000,1105050
20260807,B000401E6,KR6000401E61,롯데손해보험15(후),일반채권, , ,8850.5,-89.5,8.978,8850.5,8.978,8939,8.808,8850.5,8.978,2000000,1770188
20260807,B000401EB,KR6000401EB0,롯데손해보험17(후),일반채권, , ,8799.5,-89,8.283,8700,8.465,8799.5,8.283,8700,8.465,12010000,10567201
20260807,B000541C5,KR6000541C56,흥국화재신종자본증권3,일반채권, , ,9825,-120,6.741,9850,6.72,9850,6.72,9806,6.757,16420000,16157566
20260807,B000541E9,KR6000541E96,흥국화재22(후),일반채권, , ,9395,20,7.322,9315,7.459,9395,7.322,9315,7.459,11230000,10460825
20260807,B000541F3,KR6000541F38,흥국화재신종자본증권5,일반채권, , ,9000,1,6.971,9050,6.927,9050,6.927,8861,7.096,4040000,3635469
20260807,B0007K1G2,KR60007K1G22,대신자산신탁6,일반채권, , ,10050,19.9,5.202,10050,5.202,10050,5.202,10050,5.202,32700000,32863500
20260807,B000821EA,KR6000821EA1,롯데건설149-1,일반채권, , ,10030,5,4.86,10024.5,5.125,10030,4.86,10024.5,5.125,59560000,59715893
20260807,B000822EA,KR6000822EA9,롯데건설149-2,일반채권, , ,10019,-19,5.707,10019,5.707,10019,5.707,9983.5,6.011,11980000,11968912
20260807,B001792F4,KR6001792F40,대한제당127,일반채권, , ,9864.1,0,4.535,9864.1,4.535,9864.1,4.535,9864.1,4.535,100000,98641
20260807,B002322F1,KR6002322F13,한진122-2,일반채권, , ,10020,0,4.133,10019.9,4.134,10020,4.133,10019.9,4.134,1500000,1502999
20260807,B002322F5,KR6002322F54,한진123-2,일반채권, , ,10020,40,4.379,9980,4.612,10020,4.379,9980,4.612,15290000,15317800
20260807,B002322G1,KR6002322G12,한진126-2,일반채권, , ,9652,0,5.741,9652,5.741,9652,5.741,9652,5.741,350000,337820
